Time [s],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm],CO [l/min],CI [l/min/m^2],SV [ml],SI [ml/m^2],SVR [dyn*s/cm^5],SVRI [dyn*s*m^2/cm^5],PPV [%],SVV [%],NBP Sys [mmHg],NBP Dia [mmHg],Event,CO cal [l/min],Height Offset [cm],CVP [mmHg]
671.83,105,87,70,70,6,3.4,82,46,1053,1886,9,16,,,,,,
672.64,104,86,69,73,6,3.4,82,46,1053,1886,9,16,,,Optimize Signal Quality,,,
673.49,104,86,69,73,6,3.4,82,46,1053,1886,9,16,,,,,,
674.34,104,86,69,71,6,3.4,82,46,1053,1886,9,16,,,,,,
675.15,104,86,69,74,6,3.4,82,46,1053,1886,9,16,,,,,,
675.99,104,86,69,71,6,3.4,82,46,1053,1886,9,16,,,,,,
676.86,104,86,69,69,6,3.4,82,46,1053,1886,9,16,,,,,,
677.72,104,86,69,70,6,3.4,82,46,1053,1886,9,16,,,,,,
678.61,114,99,66,73,5.9,3.3,83,46,1110,1988,9,16,,,,,,
679.49,107,87,70,73,5.9,3.3,83,46,1110,1988,9,16,,,,,,
680.36,108,87,70,73,5.9,3.3,83,46,1110,1988,9,16,,,,,,
681.23,109,88,70,69,5.9,3.3,83,46,1110,1988,9,16,,,,,,
682.08,110,88,71,71,5.9,3.3,83,46,1110,1988,9,16,,,,,,
682.89,111,89,72,73,5.9,3.3,83,46,1110,1988,9,16,,,,,,
683.71,110,89,71,73,5.9,3.3,83,46,1110,1988,9,16,,,,,,
684.55,109,89,72,71,5.9,3.3,83,46,1110,1988,9,16,,,,,,
685.36,110,91,73,76,5.9,3.3,83,46,1110,1988,9,16,,,,,,
686.18,111,91,72,72,5.9,3.3,83,46,1110,1988,9,16,,,,,,
687.03,111,92,73,70,5.9,3.3,83,46,1110,1988,9,16,,,,,,
687.88,112,93,76,71,5.9,3.3,83,46,1110,1988,9,16,,,,,,
688.72,113,93,74,71,5.9,3.3,83,46,1110,1988,9,16,,,,,,
689.58,111,92,73,71,5.9,3.3,83,46,1110,1988,9,17,,,,,,
690.43,113,93,77,71,5.9,3.3,83,46,1110,1988,9,17,,,,,,
691.23,112,93,77,74,5.9,3.3,83,46,1110,1988,9,17,,,,,,
692.05,112,94,75,74,5.9,3.3,83,46,1110,1988,7,17,,,,,,
692.86,113,95,78,72,5.9,3.3,83,46,1110,1988,7,17,,,,,,
693.67,115,97,79,76,5.9,3.3,83,46,1110,1988,7,17,,,,,,
694.47,114,97,79,74,5.9,3.3,83,46,1110,1988,7,17,,,,,,
695.22,113,97,81,78,5.9,3.3,83,46,1110,1988,7,17,,,,,,
695.94,114,99,85,84,5.9,3.3,83,46,1110,1988,7,17,,,,,,
696.64,113,98,82,87,5.9,3.3,83,46,1110,1988,7,17,,,,,,
697.42,113,95,76,75,5.9,3.3,83,46,1110,1988,7,17,,,,,,
698.29,110,92,72,71,5.9,3.3,83,46,1110,1988,7,17,,,,,,
699.13,110,90,72,70,6,3.4,82,46,1138,2039,7,17,,,,,,
699.99,109,87,68,71,6,3.4,82,46,1138,2039,7,17,,,,,,
700.88,107,85,67,67,6,3.4,82,46,1138,2039,7,18,,,,,,
701.76,107,85,67,68,6,3.4,82,46,1138,2039,7,18,,,,,,
702.58,108,87,70,72,6,3.4,82,46,1138,2039,7,18,,,,,,
703.43,110,89,70,72,6,3.4,82,46,1138,2039,7,18,,,,,,
704.28,112,92,74,71,6,3.4,82,46,1138,2039,7,18,,,,,,
705.11,113,95,78,71,6,3.4,82,46,1138,2039,7,18,,,,,,
705.97,113,95,77,71,6,3.4,82,46,1138,2039,11,18,,,,,,
706.83,113,96,78,68,6,3.4,82,46,1138,2039,11,18,,,,,,
707.71,115,97,79,70,6,3.4,82,46,1138,2039,11,18,,,,,,
708.58,113,94,74,68,6,3.4,82,46,1138,2039,11,18,,,,,,
709.49,110,91,73,66,6,3.4,82,46,1138,2039,11,16,,,,,,
710.34,111,92,75,69,6,3.4,82,46,1138,2039,11,16,,,,,,
711.23,110,90,71,69,6,3.4,82,46,1138,2039,11,16,,,,,,
712.1,108,89,71,67,6,3.4,82,46,1138,2039,11,16,,,,,,
712.95,112,93,76,72,6,3.4,82,46,1138,2039,11,16,,,,,,
713.75,111,93,76,75,6,3.4,82,46,1138,2039,11,16,,,,,,
714.59,113,95,76,72,6,3.4,82,46,1138,2039,11,16,,,,,,
715.45,115,96,77,69,6,3.4,82,46,1138,2039,11,16,,,,,,
716.27,112,97,81,73,6,3.4,82,46,1138,2039,11,16,,,,,,
717.09,114,97,79,72,6,3.4,82,46,1138,2039,11,16,,,,,,
717.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
717.94,114,97,79,72,6,3.4,82,46,1138,2039,11,16,,,,,,
718.81,114,97,79,69,6,3.4,82,46,1138,2039,11,16,,,,,,
719.64,114,97,79,72,6,3.4,82,46,1138,2039,11,16,,,,,,
720.5,114,97,79,70,6,3.4,82,46,1138,2039,11,16,,,,,,
721.37,114,97,79,69,6,3.4,82,46,1138,2039,11,16,,,,,,
722.18,114,97,79,74,6,3.4,82,46,1138,2039,11,16,,,,,,
723.03,114,97,79,71,6,3.4,82,46,1138,2039,11,16,,,,,,
723.92,124,104,77,72,5.8,3.2,82,46,1173,2101,11,16,,,,,,
724.74,124,97,81,72,5.8,3.2,82,46,1173,2101,11,16,,,,,,
725.58,125,98,81,72,5.8,3.2,82,46,1173,2101,11,16,,,,,,
726.44,125,98,80,69,5.8,3.2,82,46,1173,2101,11,17,,,,,,
727.3,123,97,81,70,5.8,3.2,82,46,1173,2101,11,17,,,,,,
728.06,123,99,84,79,5.8,3.2,82,46,1173,2101,11,17,,,,,,
728.83,124,100,82,78,5.8,3.2,82,46,1173,2101,11,17,,,,,,
729.65,126,101,83,73,5.8,3.2,82,46,1173,2101,11,17,,,,,,
730.51,125,98,81,70,5.8,3.2,82,46,1173,2101,11,17,,,,,,
731.35,122,96,81,71,5.8,3.2,82,46,1173,2101,11,17,,,,,,
732.15,123,97,81,76,5.8,3.2,82,46,1173,2101,11,17,,,,,,
732.95,124,99,82,75,5.8,3.2,82,46,1173,2101,11,17,,,,,,
733.8,127,101,83,71,5.8,3.2,82,46,1173,2101,11,17,,,,,,
734.63,125,100,85,71,5.8,3.2,82,46,1173,2101,11,17,,,,,,
735.44,125,100,82,74,5.8,3.2,82,46,1173,2101,11,17,,,,,,
736.3,125,100,81,71,5.8,3.2,82,46,1173,2101,11,20,,,,,,
737.17,124,98,81,67,5.8,3.2,82,46,1173,2101,11,20,,,,,,
738.03,122,96,80,70,5.8,3.2,82,46,1173,2101,11,20,,,,,,
738.84,120,95,79,74,5.8,3.2,82,46,1173,2101,11,20,,,,,,
739.67,120,95,77,73,5.8,3.2,82,46,1173,2101,11,20,,,,,,
740.48,121,97,81,74,5.8,3.2,82,46,1173,2101,11,20,,,,,,
741.27,121,97,82,75,5.8,3.2,82,46,1173,2101,11,20,,,,,,
742.06,121,98,80,78,5.8,3.2,82,46,1173,2101,11,20,,,,,,
742.88,122,97,80,72,5.8,3.2,82,46,1173,2101,11,20,,,,,,
743.75,122,96,79,68,5.8,3.2,82,46,1173,2101,11,20,,,,,,
744.62,118,93,78,70,5.9,3.3,81,45,1237,2216,11,20,,,,,,
745.41,118,92,76,75,5.9,3.3,81,45,1237,2216,11,20,,,,,,
746.21,120,95,78,75,5.9,3.3,81,45,1237,2216,11,25,,,,,,
747.03,122,96,80,74,5.9,3.3,81,45,1237,2216,11,25,,,,,,
747.83,120,95,80,74,5.9,3.3,81,45,1237,2216,11,25,,,,,,
748.6,120,96,81,79,5.9,3.3,81,45,1237,2216,11,25,,,,,,
749.37,121,98,81,78,5.9,3.3,81,45,1237,2216,11,25,,,,,,
750.17,124,100,82,75,5.9,3.3,81,45,1237,2216,11,25,,,,,,
750.98,124,100,83,74,5.9,3.3,81,45,1237,2216,11,25,,,,,,
751.71,123,100,85,81,5.9,3.3,81,45,1237,2216,11,25,,,,,,
752.43,121,100,83,84,5.9,3.3,81,45,1237,2216,11,25,,,,,,
753.15,121,97,83,83,5.9,3.3,81,45,1237,2216,11,25,,,,,,
753.87,120,97,82,83,5.9,3.3,81,45,1237,2216,11,25,,,,,,
754.6,122,99,82,81,5.9,3.3,81,45,1237,2216,11,25,,,,,,
755.39,124,100,82,76,5.9,3.3,81,45,1237,2216,11,25,,,,,,
756.23,124,98,80,73,5.9,3.3,81,45,1237,2216,11,25,,,,,,
757,121,97,81,75,5.9,3.3,81,45,1237,2216,11,25,,,,,,
757.81,121,96,80,76,5.9,3.3,81,45,1237,2216,11,25,,,,,,
758.61,120,96,79,75,5.9,3.3,81,45,1237,2216,11,25,,,,,,
759.42,121,95,78,73,5.9,3.3,81,45,1237,2216,11,25,,,,,,
759.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
760.23,121,95,78,73,5.9,3.3,81,45,1237,2216,11,25,,,,,,
761.02,121,95,78,76,5.9,3.3,81,45,1237,2216,11,25,,,,,,
761.85,121,95,78,72,5.9,3.3,81,45,1237,2216,11,25,,,,,,
762.63,121,95,78,77,5.9,3.3,81,45,1237,2216,11,25,,,,,,
763.41,121,95,78,77,5.9,3.3,81,45,1237,2216,11,25,,,,,,
764.2,121,95,78,76,5.9,3.3,81,45,1237,2216,11,25,,,,,,
764.99,118,98,80,73,6.1,3.4,79,44,1188,2128,11,25,,,,,,
765.78,119,96,79,73,6.1,3.4,79,44,1188,2128,11,25,,,,,,
766.61,117,95,77,73,6.1,3.4,79,44,1188,2128,11,25,,,,,,
767.42,115,94,77,75,6.1,3.4,79,44,1188,2128,11,25,,,,,,
768.19,115,94,77,77,6.1,3.4,79,44,1188,2128,11,25,,,,,,
768.97,116,94,76,78,6.1,3.4,79,44,1188,2128,11,25,,,,,,
769.76,116,94,77,74,6.1,3.4,79,44,1188,2128,11,25,,,,,,
770.55,117,97,79,78,6.1,3.4,79,44,1188,2128,11,25,,,,,,
771.33,118,97,80,77,6.1,3.4,79,44,1188,2128,9,25,,,,,,
772.15,117,96,77,73,6.1,3.4,79,44,1188,2128,9,25,,,,,,
772.92,117,98,81,78,6.1,3.4,79,44,1188,2128,9,25,,,,,,
773.68,119,98,81,77,6.1,3.4,79,44,1188,2128,9,25,,,,,,
774.48,116,96,78,76,6.1,3.4,79,44,1188,2128,9,25,,,,,,
775.27,118,98,80,78,6.1,3.4,79,44,1188,2128,9,25,,,,,,
776.08,118,97,79,73,6.1,3.4,79,44,1188,2128,9,25,,,,,,
776.92,115,95,76,71,6.1,3.4,79,44,1188,2128,9,25,,,,,,
777.72,115,95,78,74,6.1,3.4,79,44,1188,2128,9,25,,,,,,
778.54,116,94,76,74,6.1,3.4,79,44,1188,2128,8,25,,,,,,
779.36,113,92,75,72,6.1,3.4,79,44,1188,2128,8,20,,,,,,
780.14,114,93,76,77,6.1,3.4,79,44,1188,2128,8,20,,,,,,
780.93,116,95,77,77,6.1,3.4,79,44,1188,2128,8,20,,,,,,
781.7,116,97,79,78,6.1,3.4,79,44,1188,2128,8,20,,,,,,
782.45,119,100,82,80,6.1,3.4,79,44,1188,2128,8,20,,,,,,
783.24,119,100,81,75,6.1,3.4,79,44,1188,2128,8,20,,,,,,
784.06,118,99,80,74,6.1,3.4,79,44,1188,2128,8,20,,,,,,
784.88,118,98,79,72,6.1,3.4,79,44,1188,2128,6,20,,,,,,
785.75,115,96,77,70,6.2,3.5,82,46,1150,2061,6,20,,,,,,
786.59,114,95,77,71,6.2,3.5,82,46,1150,2061,6,20,,,,,,
787.43,115,94,74,70,6.2,3.5,82,46,1150,2061,6,20,,,,,,
788.27,114,92,74,72,6.2,3.5,82,46,1150,2061,6,20,,,,,,
789.09,115,92,74,72,6.2,3.5,82,46,1150,2061,6,20,,,,,,
789.94,115,92,73,73,6.2,3.5,82,46,1150,2061,6,20,,,,,,
790.72,115,94,77,76,6.2,3.5,82,46,1150,2061,6,20,,,,,,
791.46,116,96,78,80,6.2,3.5,82,46,1150,2061,6,20,,,,,,
792.22,116,97,78,79,6.2,3.5,82,46,1150,2061,6,20,,,,,,
793.02,119,100,81,76,6.2,3.5,82,46,1150,2061,6,13,,,,,,
793.79,119,101,84,77,6.2,3.5,82,46,1150,2061,6,13,,,,,,
794.6,119,99,80,75,6.2,3.5,82,46,1150,2061,6,13,,,,,,
795.44,116,97,77,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
796.27,116,97,79,73,6.2,3.5,82,46,1150,2061,6,13,,,,,,
797.09,117,97,77,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
797.96,116,96,76,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
798.77,117,96,78,73,6.2,3.5,82,46,1150,2061,6,13,,,,,,
799.59,118,97,77,72,6.2,3.5,82,46,1150,2061,6,13,,,,,,
800.44,119,97,78,71,6.2,3.5,82,46,1150,2061,6,13,,,Optimize Signal Quality,,,
801.24,119,97,78,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
802.08,119,97,78,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
802.92,119,97,78,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
803.71,119,97,78,76,6.2,3.5,82,46,1150,2061,6,13,,,,,,
804.54,119,97,78,72,6.2,3.5,82,46,1150,2061,6,13,,,,,,
805.38,124,106,80,71,6.2,3.5,82,46,1150,2061,6,13,,,,,,
806.2,124,100,82,71,6.1,3.4,83,46,1154,2068,6,13,,,,,,
807.06,124,99,80,71,6.1,3.4,83,46,1154,2068,6,13,,,,,,
807.94,125,98,80,67,6.1,3.4,83,46,1154,2068,6,13,,,,,,
808.78,126,99,81,72,6.1,3.4,83,46,1154,2068,6,13,,,,,,
809.61,127,99,82,72,6.1,3.4,83,46,1154,2068,6,13,,,,,,
810.46,124,98,79,70,6.1,3.4,83,46,1154,2068,6,13,,,,,,
811.29,124,99,82,73,6.1,3.4,83,46,1154,2068,6,13,,,,,,
812.11,126,101,83,74,6.1,3.4,83,46,1154,2068,6,13,,,,,,
812.92,126,102,82,72,6.1,3.4,83,46,1154,2068,6,13,,,,,,
813.78,128,104,85,71,6.1,3.4,83,46,1154,2068,6,13,,,,,,
814.61,129,105,86,71,6.1,3.4,83,46,1154,2068,6,13,,,,,,
815.49,126,102,82,68,6.1,3.4,83,46,1154,2068,6,13,,,,,,
816.41,125,100,81,65,6.1,3.4,83,46,1154,2068,6,13,,,,,,
817.28,124,100,81,69,6.1,3.4,83,46,1154,2068,6,13,,,,,,
818.19,125,99,80,67,6.1,3.4,83,46,1154,2068,6,13,,,,,,
819.09,123,98,78,66,6.1,3.4,83,46,1154,2068,6,10,,,,,,
819.95,125,99,81,71,6.1,3.4,83,46,1154,2068,6,10,,,,,,
820.82,126,100,81,69,6.1,3.4,83,46,1154,2068,6,10,,,,,,
821.69,126,102,82,69,6.1,3.4,83,46,1154,2068,6,10,,,,,,
822.54,129,105,86,71,6.1,3.4,83,46,1154,2068,6,10,,,,,,
823.4,131,106,85,69,6.1,3.4,83,46,1154,2068,6,10,,,,,,
824.31,128,104,83,66,6.1,3.4,83,46,1154,2068,6,10,,,,,,
825.21,128,104,84,67,6.1,3.4,83,46,1154,2068,6,10,,,,,,
826.12,128,102,83,65,6.1,3.4,83,46,1154,2068,4,10,,,,,,
827.08,124,99,79,63,5.8,3.2,84,47,1290,2310,4,10,,,,,,
828,126,99,82,65,5.8,3.2,84,47,1290,2310,4,10,,,,,,
828.91,126,98,79,67,5.8,3.2,84,47,1290,2310,4,10,,,,,,
829.83,124,96,77,65,5.8,3.2,84,47,1290,2310,4,9,,,,,,
830.72,124,98,82,67,5.8,3.2,84,47,1290,2310,4,9,,,,,,
831.58,127,99,81,70,5.8,3.2,84,47,1290,2310,4,9,,,,,,
832.47,126,99,79,68,5.8,3.2,84,47,1290,2310,4,9,,,,,,
833.35,128,103,86,68,5.8,3.2,84,47,1290,2310,4,9,,,,,,
834.19,129,104,86,71,5.8,3.2,84,47,1290,2310,5,9,,,,,,
835.1,128,104,84,67,5.8,3.2,84,47,1290,2310,5,9,,,,,,
836.02,128,103,84,65,5.8,3.2,84,47,1290,2310,5,9,,,,,,
836.89,128,102,84,68,5.8,3.2,84,47,1290,2310,5,9,,,,,,
837.79,127,101,81,67,5.8,3.2,84,47,1290,2310,5,9,,,,,,
838.66,128,102,84,70,5.8,3.2,84,47,1290,2310,5,17,,,,,,
839.46,129,104,85,75,5.8,3.2,84,47,1290,2310,5,17,,,,,,
840.28,129,106,87,73,5.8,3.2,84,47,1290,2310,5,17,,,,,,
841.13,132,108,89,70,5.8,3.2,84,47,1290,2310,5,17,,,,,,
841.96,132,109,90,72,5.8,3.2,84,47,1290,2310,5,17,,,,,,
842.85,130,107,87,67,5.8,3.2,84,47,1290,2310,5,17,,,,,,
843.82,127,103,82,62,5.8,3.2,84,47,1290,2310,5,17,,,,,,
844.76,123,98,80,64,5.8,3.2,84,47,1290,2310,5,17,,,,,,
845.62,122,96,78,70,5.8,3.2,84,47,1290,2310,5,17,,,,,,
846.5,121,94,76,69,5.8,3.2,84,47,1290,2310,5,13,,,,,,
847.3,123,97,80,75,5.7,3.2,83,46,1321,2367,5,13,,,,,,
848.01,125,100,83,83,5.7,3.2,83,46,1321,2367,5,13,,,,,,
848.73,124,100,83,84,5.7,3.2,83,46,1321,2367,5,13,,,,,,
849.48,123,99,82,80,5.7,3.2,83,46,1321,2367,5,13,,,,,,
850.2,124,101,85,82,5.7,3.2,83,46,1321,2367,5,13,,,,,,
850.97,125,103,84,78,5.7,3.2,83,46,1321,2367,5,13,,,,,,
851.83,126,101,82,71,5.7,3.2,83,46,1321,2367,5,13,,,,,,
852.69,123,98,80,69,5.7,3.2,83,46,1321,2367,5,13,,,,,,
853.54,122,98,80,71,5.7,3.2,83,46,1321,2367,5,13,,,,,,
854.4,123,97,78,70,5.7,3.2,83,46,1321,2367,5,15,,,,,,
855.29,123,97,78,67,5.7,3.2,83,46,1321,2367,5,15,,,,,,
856.15,123,97,79,71,5.7,3.2,83,46,1321,2367,5,15,,,,,,
857,124,97,79,71,5.7,3.2,83,46,1321,2367,5,15,,,,,,
857.85,124,98,80,70,5.7,3.2,83,46,1321,2367,5,15,,,,,,
858.69,124,100,83,72,5.7,3.2,83,46,1321,2367,5,15,,,,,,
859.53,124,100,81,72,5.7,3.2,83,46,1321,2367,5,15,,,,,,
860.38,123,99,79,71,5.7,3.2,83,46,1321,2367,5,15,,,,,,
861.22,125,102,84,71,5.7,3.2,83,46,1321,2367,5,15,,,,,,
862.06,126,102,83,71,5.7,3.2,83,46,1321,2367,7,15,,,,,,
862.94,123,100,80,68,5.7,3.2,83,46,1321,2367,7,15,,,,,,
863.82,125,100,81,68,5.7,3.2,83,46,1321,2367,7,15,,,,,,
864.69,124,100,81,68,5.7,3.2,83,46,1321,2367,7,15,,,,,,
865.6,122,97,77,67,5.7,3.2,83,46,1321,2367,7,15,,,,,,
866.48,122,96,78,67,5.7,3.2,83,46,1321,2367,7,15,,,,,,
867.32,121,96,78,71,5.9,3.3,82,46,1239,2219,7,15,,,,,,
868.2,120,95,75,69,5.9,3.3,82,46,1239,2219,7,15,,,,,,
869.07,121,97,79,69,5.9,3.3,82,46,1239,2219,7,15,,,,,,
869.92,124,98,80,71,5.9,3.3,82,46,1239,2219,4,15,,,,,,
870.78,122,98,79,69,5.9,3.3,82,46,1239,2219,4,15,,,,,,
871.68,123,100,80,67,5.9,3.3,82,46,1239,2219,4,15,,,,,,
872.54,123,100,82,71,5.9,3.3,82,46,1239,2219,4,15,,,,,,
873.4,124,99,79,69,5.9,3.3,82,46,1239,2219,4,14,,,,,,
874.28,124,101,80,68,5.9,3.3,82,46,1239,2219,4,14,,,,,,
875.13,125,102,84,71,5.9,3.3,82,46,1239,2219,4,14,,,,,,
876,128,104,83,71,5.9,3.3,82,46,1239,2219,4,14,,,,,,
876.87,126,103,83,67,5.9,3.3,82,46,1239,2219,4,14,,,,,,
877.72,127,104,85,71,5.9,3.3,82,46,1239,2219,4,14,,,,,,
878.55,128,104,84,72,5.9,3.3,82,46,1239,2219,6,14,,,,,,
879.4,126,102,81,69,5.9,3.3,82,46,1239,2219,6,14,,,,,,
880.27,127,103,84,70,5.9,3.3,82,46,1239,2219,6,14,,,,,,
881.08,127,103,86,73,5.9,3.3,82,46,1239,2219,6,14,,,,,,
881.92,127,103,84,72,5.9,3.3,82,46,1239,2219,6,14,,,,,,
882.76,127,104,85,71,5.9,3.3,82,46,1239,2219,6,14,,,,,,
883.57,129,107,89,74,5.9,3.3,82,46,1239,2219,6,14,,,,,,
884.41,129,106,87,72,5.9,3.3,82,46,1239,2219,6,14,,,,,,
885.27,127,103,83,70,5.9,3.3,82,46,1239,2219,6,12,,,,,,
886.1,127,103,85,71,5.9,3.3,82,46,1239,2219,6,12,,,,,,
886.94,125,101,83,71,5.9,3.3,82,46,1239,2219,7,12,,,,,,
887.82,122,99,79,69,5.8,3.3,83,46,1292,2315,7,12,,,,,,
888.69,122,98,81,69,5.8,3.3,83,46,1292,2315,7,12,,,,,,
889.54,121,96,78,72,5.8,3.3,83,46,1292,2315,7,12,,,,,,
890.37,119,95,77,71,5.8,3.3,83,46,1292,2315,7,12,,,,,,
891.21,122,97,79,71,5.8,3.3,83,46,1292,2315,7,12,,,,,,
891.98,122,99,82,77,5.8,3.3,83,46,1292,2315,7,12,,,,,,
892.81,122,101,82,74,5.8,3.3,83,46,1292,2315,7,12,,,,,,
893.64,125,103,84,72,5.8,3.3,83,46,1292,2315,7,16,,,,,,
894.46,124,103,84,73,5.8,3.3,83,46,1292,2315,7,16,,,,,,
895.28,125,102,83,74,5.8,3.3,83,46,1292,2315,6,16,,,,,,
896.1,124,102,81,71,5.8,3.3,83,46,1292,2315,6,16,,,,,,
896.94,124,102,84,72,5.8,3.3,83,46,1292,2315,6,16,,,,,,
897.75,125,102,83,74,5.8,3.3,83,46,1292,2315,6,16,,,,,,
898.56,123,101,81,73,5.8,3.3,83,46,1292,2315,6,16,,,,,,
899.33,124,102,83,80,5.8,3.3,83,46,1292,2315,6,16,,,,,,
900.02,125,102,86,86,5.8,3.3,83,46,1292,2315,6,16,,,,,,
900.76,123,99,83,80,5.8,3.3,83,46,1292,2315,6,16,,,,,,
901.54,121,98,81,80,5.8,3.3,83,46,1292,2315,6,13,,,,,,
902.24,124,100,83,83,5.8,3.3,83,46,1292,2315,4,13,,,,,,
903.02,124,100,81,78,5.8,3.3,83,46,1292,2315,4,13,,,,,,
903.81,125,100,81,74,5.8,3.3,83,46,1292,2315,4,13,,,,,,
904.66,124,97,80,71,5.8,3.3,83,46,1292,2315,4,13,,,,,,
905.49,121,95,79,73,5.8,3.3,83,46,1292,2315,4,13,,,,,,
906.27,122,95,78,77,5.8,3.3,83,46,1292,2315,4,13,,,,,,
907.08,122,96,79,73,5.8,3.3,83,46,1292,2315,4,13,,,,,,
907.92,123,97,79,71,6.1,3.4,82,46,1203,2155,4,13,,,,,,
908.73,123,98,80,75,6.1,3.4,82,46,1203,2155,4,13,,,,,,
909.54,124,99,81,75,6.1,3.4,82,46,1203,2155,4,13,,,,,,
910.37,122,99,80,71,6.1,3.4,82,46,1203,2155,4,13,,,,,,
911.18,122,100,82,74,6.1,3.4,82,46,1203,2155,4,13,,,,,,
912.01,124,100,80,71,6.1,3.4,82,46,1203,2155,4,13,,,,,,
912.91,121,97,78,67,6.1,3.4,82,46,1203,2155,4,13,,,,,,
913.8,120,95,78,67,6.1,3.4,82,46,1203,2155,4,13,,,,,,
914.66,118,94,75,71,6.1,3.4,82,46,1203,2155,4,13,,,,,,
915.52,115,94,77,70,6.1,3.4,82,46,1203,2155,4,15,,,,,,
916.34,121,96,79,73,6.1,3.4,82,46,1203,2155,6,15,,,,,,
917.18,120,94,77,71,6.1,3.4,82,46,1203,2155,6,15,,,,,,
918.02,119,92,76,72,6.1,3.4,82,46,1203,2155,6,15,,,,,,
918.77,119,96,79,78,6.1,3.4,82,46,1203,2155,6,15,,,,,,
919.51,122,100,82,82,6.1,3.4,82,46,1203,2155,6,15,,,,,,
920.3,127,102,84,76,6.1,3.4,82,46,1203,2155,6,15,,,,,,
921.16,124,99,81,70,6.1,3.4,82,46,1203,2155,6,15,,,,,,
922.03,122,96,78,68,6.1,3.4,82,46,1203,2155,6,15,,,,,,
922.89,119,94,78,70,6.1,3.4,82,46,1203,2155,6,15,,,,,,
923.68,120,94,78,76,6.1,3.4,82,46,1203,2155,6,15,,,,,,
924.47,121,96,78,76,6.1,3.4,82,46,1203,2155,6,13,,,,,,
924.73,,,,,,,,,,,,,,,Optimize Signal Quality,,,
925.33,121,96,78,76,6.1,3.4,82,46,1203,2155,6,13,,,,,,
926.19,121,96,78,70,6.1,3.4,82,46,1203,2155,6,13,,,,,,
927.04,121,96,78,71,6.1,3.4,82,46,1203,2155,6,13,,,,,,
927.78,121,96,78,81,6.1,3.4,82,46,1203,2155,6,13,,,,,,
928.46,121,96,78,88,6.1,3.4,82,46,1203,2155,6,13,,,,,,
929.18,121,96,78,83,6.1,3.4,82,46,1203,2155,6,13,,,,,,
929.96,121,96,78,77,6.1,3.4,82,46,1203,2155,6,13,,,,,,
930.8,118,100,76,76,6,3.3,83,46,1191,2133,6,13,,,,,,
931.64,117,91,76,76,6,3.3,83,46,1191,2133,6,13,,,,,,
932.41,126,97,80,76,6,3.3,83,46,1191,2133,6,13,,,,,,
933.2,126,98,82,75,6,3.3,83,46,1191,2133,6,13,,,,,,
934.02,123,96,79,73,6,3.3,83,46,1191,2133,6,13,,,,,,
934.85,123,96,80,72,6,3.3,83,46,1191,2133,6,13,,,,,,
935.69,121,96,80,71,6,3.3,83,46,1191,2133,6,13,,,,,,
936.5,122,97,81,74,6,3.3,83,46,1191,2133,6,13,,,,,,
937.28,124,101,82,76,6,3.3,83,46,1191,2133,8,13,,,,,,
938.12,125,104,84,72,6,3.3,83,46,1191,2133,8,13,,,,,,
938.99,127,105,86,69,6,3.3,83,46,1191,2133,8,13,,,,,,
939.85,124,101,83,69,6,3.3,83,46,1191,2133,8,13,,,,,,
940.64,119,98,81,76,6,3.3,83,46,1191,2133,8,13,,,,,,
941.4,125,102,83,80,6,3.3,83,46,1191,2133,8,16,,,,,,
942.22,126,103,83,73,6,3.3,83,46,1191,2133,8,16,,,,,,
943.12,125,100,79,67,6,3.3,83,46,1191,2133,8,16,,,,,,
944.03,122,96,77,65,6,3.3,83,46,1191,2133,8,16,,,,,,
944.94,119,93,76,66,6,3.3,83,46,1191,2133,8,16,,,,,,
945.79,119,92,76,71,6,3.3,83,46,1191,2133,8,16,,,,,,
946.62,120,93,76,71,6,3.3,83,46,1191,2133,8,16,,,,,,
947.48,122,96,77,70,6,3.3,83,46,1191,2133,8,16,,,,,,
948.37,123,97,78,68,6,3.3,83,46,1191,2133,8,16,,,,,,
949.27,122,96,77,67,6,3.3,83,46,1191,2133,8,16,,,,,,
950.12,120,95,79,70,,,,,,,8,16,,,,,,
950.97,123,95,78,71,,,,,,,7,16,,,,,,
951.85,121,95,76,68,,,,,,,7,16,,,,,,
952.75,122,96,79,67,,,,,,,7,16,,,,,,
953.56,123,98,80,73,,,,,,,7,16,,,,,,
954.37,125,102,83,74,,,,,,,7,16,,,,,,
955.28,128,101,83,67,,,,,,,7,16,,,,,,
956.23,125,98,79,64,,,,,,,7,16,,,,,,
957.15,123,95,78,65,,,,,,,7,16,,,,,,
958.08,122,94,77,65,,,,,,,7,16,,,,,,
959,122,93,78,65,,,,,,,7,16,,,,,,
959.9,121,95,81,67,,,,,,,7,16,,,,,,
960.8,114,98,84,68,,,,,,,7,16,,,,,,
967.73,76,76,76,0,,,,,,,7,16,,,,,,
975.23,80,80,80,0,,,,,,,,16,,,,,,
