I0,I1,,
55.520401,50.349998,,
55.513401,50.375,,
55.607262,50.424999,,
55.774715,50.150002,,
55.600052,50.075001,,
55.52206,50.075001,,
55.465137,49.674999,,
55.423592,49.375,,
55.442745,49.275002,,
55.456734,49.549999,,
55.417458,49.474998,,
55.388794,49.700001,,
55.516312,49.450001,,
55.411461,49.450001,,
55.483372,49.450001,,
55.535858,49.424999,,
55.673126,49.75,,
55.822788,49.75,,
55.7341,49.825001,,
55.768333,49.400002,,
55.545918,49.5,,
55.581505,50.049999,,
55.508522,50.950001,,
55.554214,51.599998,,
55.538082,51.875,,
55.724232,52.025002,,
55.761124,51.349998,,
55.738571,50.974998,,
55.623158,50.625,,
55.341007,50.450001,,
55.481434,50.900002,,
55.484962,50.424999,,
55.487541,50.400002,,
55.637859,50.200001,,
55.599133,49.650002,,
55.570866,49.5,,
55.451279,49.650002,,
55.512432,49.775002,,
55.606544,49.575001,,
55.427845,49.599998,,
55.396374,49.599998,,
55.373405,49.275002,,
55.406124,49.549999,,
55.43,49.525002,,
55.397942,49.450001,,
55.17664,49.5,,
55.213032,49.174999,,
55.882832,49.174999,,
55.777924,49.349998,,
55.701355,49.224998,,
55.793911,49.724998,,
55.910938,50.825001,,
55.798435,51.325001,,
55.815289,52,,
55.778107,51.724998,,
55.800446,51.525002,,
55.668316,51.125,,
55.472927,50.575001,,
55.429279,50.200001,,
55.446903,50.200001,,
55.459763,50.275002,,
55.221756,50.299999,,
55.24596,50.700001,,
55.164669,50.325001,,
55.35273,49.950001,,
55.391037,50,,
55.369511,49.700001,,
55.551716,49.450001,,
55.338348,49.75,,
55.380535,49.799999,,
55.510284,49.75,,
55.456543,49.599998,,
55.516277,49.549999,,
55.460915,49.349998,,
55.51947,49.299999,,
55.413769,49.299999,,
55.435577,49.400002,,
55.253578,49.650002,,
55.269192,49.875,,
55.379543,50,,
55.509556,50.75,,
55.752888,51.775002,,
55.78204,52.275002,,
55.753845,51.974998,,
55.683781,51.450001,,
55.632648,50.849998,,
55.595325,50.525002,,
55.667046,50.174999,,
55.669914,50.25,,
55.770966,50.424999,,
55.646797,50.5,,
55.556175,50.575001,,
55.440556,50.424999,,
55.455135,50.424999,,
55.267857,50.200001,,
55.378571,49.875,,
55.360409,49.775002,,
55.248196,49.950001,,
55.413696,50.049999,,
55.485004,49.75,,
55.289654,49.724998,,
55.493435,49.799999,,
55.642159,49.674999,,
55.602264,49.575001,,
55.672108,49.549999,,
55.822044,49.674999,,
55.832516,49.875,,
55.691723,50.924999,,
55.687923,51.799999,,
55.487232,52.349998,,
55.687111,52.400002,,
55.734035,51.75,,
55.718803,51.174999,,
55.60873,50.424999,,
55.429436,50.400002,,
55.545971,50.424999,,
55.334152,50.799999,,
55.575386,50.674999,,
56.097809,50.674999,,
55.934826,50.575001,,
55.815868,50.299999,,
55.828007,49.799999,,
55.787388,49.875,,
55.757744,49.700001,,
55.63715,49.474998,,
55.351215,49.75,,
55.290974,49.525002,,
55.345959,49.825001,,
55.386089,49.700001,,
55.514336,49.650002,,
55.459499,49.549999,,
55.419479,49.375,,
55.34079,49.799999,,
55.431793,50.150002,,
55.498219,51.299999,,
55.695133,52.599998,,
55.640934,53.200001,,
55.601372,52.674999,,
55.770424,52.224998,,
55.745361,51.325001,,
55.727074,50.724998,,
55.416847,50.825001,,
54.992516,51.049999,,
55.029171,50.775002,,
55.154888,50.875,,
55.246639,50.849998,,
55.363079,50.450001,,
55.448067,50.25,,
55.312172,49.674999,,
55.460388,49.549999,,
55.469608,49.900002,,
55.426853,49.875,,
55.593567,49.974998,,
55.566803,49.724998,,
55.547276,49.724998,,
55.631977,49.900002,,
55.792751,49.549999,,
55.613224,49.599998,,
55.531666,49.200001,,
55.472149,49.299999,,
55.379234,49.474998,,
55.410378,50.650002,,
55.235184,52.450001,,
55.255764,53.875,,
55.171822,53.549999,,
55.308475,53.049999,,
55.457695,51.75,,
55.566597,51.200001,,
55.497643,50.924999,,
55.645229,51.049999,,
55.604511,50.700001,,
55.574795,51.025002,,
55.652061,50.950001,,
55.708458,50.799999,,
55.700138,50.525002,,
55.5951,50.224998,,
55.518448,49.825001,,
55.462494,49.724998,,
55.471146,49.674999,,
55.477455,49.575001,,
55.086224,49.575001,,
55.147045,49.599998,,
55.09248,49.599998,,
55.399006,49.375,,
55.424809,49.325001,,
55.394154,49.299999,,
55.421261,49.25,,
55.638966,49.549999,,
55.599941,49.575001,,
55.373539,50.575001,,
55.554657,52.200001,,
55.637367,53.400002,,
55.648247,53.575001,,
55.656197,52.799999,,
55.612514,51.75,,
55.580627,50.700001,,
55.359447,50.349998,,
55.445412,50.5,,
55.409195,50.325001,,
55.531197,50.450001,,
55.620243,50.5,,
55.586277,50.099998,,
55.610966,50.025002,,
55.72794,50,,
55.813316,49.700001,,
55.628227,49.450001,,
55.691059,49.25,,
55.83588,49.349998,,
55.743652,49.599998,,
55.626865,49.450001,,
55.54163,49.474998,,
55.429939,49.474998,,
55.348423,49.25,,
55.38789,49.25,,
55.466171,48.974998,,
55.523308,49.049999,,
55.466042,50.349998,,
55.572693,52.099998,,
55.650528,53.025002,,
55.70734,53.200001,,
55.847759,52.200001,,
55.752331,51,,
55.682674,50.5,,
55.730801,50.200001,,
55.716438,49.849998,,
55.705959,50.174999,,
55.599354,50.474998,,
55.521553,50.25,,
55.31633,49.900002,,
55.512897,49.575001,,
55.507931,49.349998,,
55.454826,49.25,,
55.416065,49.474998,,
54.101318,49.174999,,
54.576649,49.150002,,
54.725658,49.150002,,
54.883884,49.349998,,
54.999371,49.349998,,
55.133137,49.099998,,
55.230762,48.924999,,
55.35149,49.075001,,
55.588043,48.950001,,
55.612251,48.900002,,
55.530956,49.575001,,
55.372673,51.700001,,
55.405594,52.974998,,
55.627529,53.474998,,
55.690548,53.150002,,
55.687069,52.474998,,
55.684525,51.275002,,
55.682671,50.724998,,
55.730793,50.424999,,
55.716438,50.275002,,
55.458565,50.025002,,
55.666191,50.150002,,
55.619812,50.150002,,
55.58596,49.825001,,
55.660213,49.700001,,
55.813366,49.424999,,
55.776703,48.974998,,
55.453072,49.125,,
55.513741,49.200001,,
55.409588,48.974998,,
55.432526,49.025002,,
55.449272,49.049999,,
55.510971,48.950001,,
55.457047,48.875,,
55.417686,48.75,,
55.586876,48.724998,,
55.462959,48.799999,,
55.026165,48.625,,
55.301125,48.724998,,
55.551289,50.275002,,
55.535942,51.974998,,
55.623707,53.099998,,
55.638287,53.299999,,
55.549961,52.575001,,
55.584461,51.5,,
55.510681,50.775002,,
55.456833,49.900002,,
55.46701,49.775002,,
55.474442,49.775002,,
55.529339,49.700001,,
55.470451,49.900002,,
55.328506,49.575001,,
55.274395,49.450001,,
55.432816,49.25,,
55.498962,49.075001,,
55.646191,48.825001,,
55.605209,48.875,,
55.575302,48.724998,,
55.652435,48.549999,,
55.659252,48.599998,,
55.713699,48.549999,,
55.605003,48.775002,,
55.62463,49.200001,,
55.540001,48.575001,,
55.527706,48.450001,,
55.518738,48.150002,,
55.462708,48.575001,,
55.520775,49.375,,
55.266285,51,,
55.575333,52.150002,,
55.652451,52.049999,,
55.659264,51.474998,,
55.812668,50.799999,,
55.726719,49.875,,
55.663982,49.325001,,
55.519241,49.450001,,
55.562038,49.674999,,
55.64275,49.625,,
55.652176,49.75,,
55.560101,49.575001,,
55.542381,49.150002,,
55.529442,48.700001,,
55.520004,48.75,,
55.562595,48.625,,
55.296806,48.700001,,
55.201778,48.775002,,
55.577736,48.650002,,
55.555248,48.724998,,
55.538841,48.525002,,
55.724781,48.650002,,
55.662571,48.525002,,
55.567688,48.599998,,
55.646873,48.25,,
55.803627,48.674999,,
55.769596,48.825001,,
55.645794,49.650002,,
55.555443,51.099998,,
55.538982,52.099998,,
55.72488,52.299999,,
55.7616,51.275002,,
55.541012,50.5,,
55.47897,50.25,,
55.433689,49.924999,,
55.54908,49.650002,,
55.583813,49.549999,,
55.559685,49.549999,,
55.73999,49.700001,,
55.871586,49.375,,
55.769718,49.224998,,
55.794327,49.200001,,
55.911243,48.799999,,
55.897617,48.75,,
55.739231,48.349998,,
55.623638,48.599998,,
55.440315,48.625,,
55.652874,48.674999,,
55.41217,48.599998,,
55.483891,48.599998,,
55.437283,48.650002,,
55.551701,48.625,,
55.635208,48.474998,,
55.696148,48.150002,,
55.691154,48.125,,
55.638027,48.450001,,
55.995087,49.450001,,
55.859859,50.525002,,
55.860115,51.625,,
55.810818,51.799999,,
55.824326,50.849998,,
55.685745,50.150002,,
55.584602,49.849998,,
55.51078,49.200001,,
55.506382,48.900002,,
55.602131,48.974998,,
55.622532,48.849998,,
55.538467,48.724998,,
55.773987,49.075001,,
55.79744,48.974998,,
55.715599,48.424999,,
55.705353,48.400002,,
55.846306,48.224998,,
55.949181,48.625,,
55.826347,48.325001,,
55.835655,48.450001,,
55.792976,48.400002,,
55.761818,48.299999,,
55.640125,48.674999,,
55.254429,48.400002,,
55.071892,48.349998,,
55.186066,48.549999,,
55.269394,48.174999,,
55.379688,48.5,,
55.361225,48.575001,,
55.347752,49.25,,
55.486355,50.049999,,
55.488556,50.525002,,
55.539646,50.599998,,
55.725368,50.075001,,
55.662994,49.599998,,
55.617477,49.275002,,
55.485294,49.049999,,
55.537262,49.075001,,
55.179359,49.125,,
55.215015,49.5,,
55.043125,49.450001,,
55.066109,49.200001,,
55.181839,48.974998,,
55.266312,48.400002,,
55.377434,48.5,,
55.409061,48.674999,,
55.481621,48.700001,,
55.53458,48.700001,,
55.622711,48.724998,,
55.588078,48.825001,,
55.711235,49,,
55.652687,48.650002,,
55.609955,48.775002,,
55.677727,48.724998,,
55.677708,48.700001,,
55.727173,48.674999,,
55.41692,49.474998,,
55.388405,50.424999,,
55.318108,51.125,,
55.563683,51.275002,,
55.544994,51.025002,,
55.382915,50.349998,,
55.363583,50,,
55.349472,49.700001,,
55.487614,49.400002,,
55.53896,49.325001,,
55.526947,49.625,,
55.716099,49.75,,
55.656235,49.700001,,
55.612541,49.375,,
55.679615,49.400002,,
55.679085,49.275002,,
55.530258,49.075001,,
55.471123,49.375,,
55.427959,49.224998,,
55.396458,49.049999,,
55.422943,49.075001,,
55.442276,49.099998,,
55.505867,49.025002,,
55.45332,49,,
55.711838,49,,
55.85104,49.099998,,
55.804195,48.974998,,
55.720528,49.275002,,
55.857384,50.099998,,
56.006748,51.325001,,
55.868362,52.125,,
55.866322,52.299999,,
55.716393,51.724998,,
55.755409,51.075001,,
55.635448,50.474998,,
55.54789,50.450001,,
55.483986,50.224998,,
55.486824,50.075001,,
55.488899,50.150002,,
55.539894,49.950001,,
55.478153,49.900002,,
55.334133,49.849998,,
55.476421,49.424999,,
55.481304,49.549999,,
55.286957,49.474998,,
55.540943,49.700001,,
55.5284,49.650002,,
55.519245,49.400002,,
55.413601,49.400002,,
55.484936,49.5,,
55.536999,49.450001,,
55.476044,49.224998,,
55.53051,49.200001,,
55.471306,49.099998,,
55.47757,49.174999,,
55.531624,49.150002,,
55.571075,49.150002,,
55.599869,49.700001,,
55.620884,51.275002,,
55.685699,52.474998,,
55.733006,52.575001,,
55.718052,52.424999,,
55.855579,51.650002,,
55.758034,50.950001,,
55.587883,50.424999,,
55.661613,50.224998,,
55.665947,50.349998,,
55.669109,50.400002,,
55.57246,50.375,,
55.60088,50.525002,,
55.473183,50.075001,,
55.478947,50.125,,
55.483147,49.549999,,
55.53569,49.349998,,
55.574047,49.525002,,
55.503078,49.5,,
55.599724,49.724998,,
55.670254,49.849998,,
55.573299,49.799999,,
55.749931,49.575001,,
55.483009,49.349998,,
